company_name,brand_name,category_name,subcategory_name,global_sku,product_title,product_short_title,product_slug,short_description,description,bullet_points,usage_instructions,storage_instructions,safety_warning,country_of_origin,status,variant_sku,variant_name,pack_size,pack_unit,flavour,age_group,pet_type,mrp,min_price,max_price,variant_description,is_default_variant,primary_image_url,gallery_image_url_1,gallery_image_url_2,gallery_image_url_3,gallery_image_url_4,gallery_image_url_5,external_source,external_product_id,notes_internal
"","SmartHeart","Cat Food","Dry Food","SH-KIT-450","SmartHeart Kitten Dry Food Chicken, Fish, Egg & Milk","SmartHeart Kitten 450g","","Premium kitten dry food for healthy growth.","Complete nutrition for kittens. Chicken, fish, egg and milk formula. Supports digestive health and immunity.","Healthy growth|Digestive health|Strong immunity","Feed according to pack guide. Always provide fresh water.","Store in a cool, dry place away from direct sunlight.","Not for human consumption. Keep away from children.","Thailand","active","SH-KIT-450","450g","450","g","","Kitten","Cat","340","","","Chicken, fish, egg and milk formula.","true","https://media.mewmewshopbd.com/uploads/media-manager/2021/08/20220220181450SmartHeart-Kitten-ChickenFishEgg-Milk-450g-e1645359256104-1732701344.jpeg","","","","","","mewmewshopbd","smartheart-kitten-dry-food-chicken-fish-egg-milk-450g","Mew Mew Shop BD"
"","SmartHeart","Cat Food","Dry Food","SH-KIT-1.1","SmartHeart Kitten Dry Food Chicken, Egg, Fish & Milk","SmartHeart Kitten 1.1kg","","Complete kitten nutrition in 1.1kg pack.","Dry food for kittens. Chicken, egg, fish and milk. Balanced nutrition for growth.","Complete nutrition|Growth support|Digestive health","Feed as directed. Provide fresh water.","Store in a cool, dry place. Reseal after opening.","Not for human consumption.","Thailand","active","SH-KIT-1.1","1.1kg","1.1","kg","","Kitten","Cat","760","","","1.1kg pack.","false","https://media.mewmewshopbd.com/uploads/media-manager/2021/08/20210816183209146089162_2862684837324115_8606083345879618671_n-1732701343.jpg","","","","","","mewmewshopbd","smartheart-dry-kitten-food-chicken-egg-fish-milk-1-1kg","Mew Mew Shop BD"
"","Whiskas","Cat Food","Dry Food","WH-JR-MACK-450","Whiskas Junior Dry Cat Food Mackerel","Whiskas Junior 450g","","Junior cat food with mackerel flavour.","Irresistible dry food for junior cats. Mackerel flavour. Complete and balanced nutrition.","Mackerel flavour|Complete nutrition|Junior formula","Feed according to feeding guide. Always provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","WH-JR-MACK-450","450g","450","g","Mackerel","Kitten","Cat","340","","","Mackerel flavour 450g.","true","https://media.mewmewshopbd.com/uploads/media-manager/2021/08/20210816183038WhatsApp-Image-2021-07-07-at-12.42.18-AM-1732701341.jpeg","","","","","","mewmewshopbd","whiskas-junior-dry-cat-food-mackerel-450g","Mew Mew Shop BD"
"","Reflex","Cat Food","Dry Food","REF-ADULT-CR-3","Reflex High Quality Adult Cat Food Chicken & Rice","Reflex Adult 3kg","","Premium adult cat food with chicken and rice.","High quality dry food for adult cats. Chicken and rice formula. Supports digestion and coat health.","Chicken and rice|Adult formula|Digestive support","Feed as per body weight. See pack for guide.","Store in a cool, dry place. Keep bag closed.","Not for human consumption.","Thailand","active","REF-ADULT-CR-3","3kg bag","3","kg","","Adult","Cat","1750","","","Chicken and rice 3kg.","true","https://media.mewmewshopbd.com/uploads/media-manager/2024/11/1732424569_reflex-adult-cat-food-chicken--rice-3kg-1-1732701402.jpg","","","","","","mewmewshopbd","reflex-adult-cat-food-chicken-rice-3kg","Mew Mew Shop BD"
"","Mito","Cat Food","Dry Food","MITO-ADULT-1","Mito Mix Adult Cat Food Chicken and Fish","Mito Adult 1kg","","Adult cat food with chicken and fish.","Dry food for adult cats. Chicken and fish blend. Balanced nutrition.","Chicken and fish|Adult formula","Feed according to pack. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","MITO-ADULT-1","1kg","1","kg","","Adult","Cat","430","","","Chicken and fish 1kg.","true","https://media.mewmewshopbd.com/uploads/media-manager/2021/10/20230205113021Mito-Adult-Cat-Food-with-Chicken-Fish-1-kg-1732701345.jpg","","","","","","mewmewshopbd","mito-adult-cat-foodchicken-fish-1-kg","Mew Mew Shop BD"
"","Bona Meow","Cat Food","Dry Food","BONA-SAL-CH-1.5","Bona Meow Dry Cat Food Active Adult Salmon & Chicken","Bona Meow Salmon Chicken 1.5kg","","Active adult cat food with salmon and chicken.","Dry food for active adult cats. Salmon and chicken. Supports energy and coat.","Salmon and chicken|Active adult|Coat health","Feed as directed. Fresh water always.","Store in a cool, dry place. Reseal after use.","Not for human consumption.","Thailand","active","BONA-SAL-CH-1.5","1.5kg","1.5","kg","","Adult","Cat","740","","","Salmon and chicken 1.5kg.","true","https://media.mewmewshopbd.com/uploads/media-manager/2024/10/1728338247_bona-meow-dry-cat-food-salmon--chicken-15kg-1732701400.jpeg","","","","","","mewmewshopbd","bona-meow-dry-cat-food-salmon-chicken-15kg","Mew Mew Shop BD"
"","Bona Meow","Cat Food","Dry Food","BONA-TU-CH-1.5","Bona Meow Dry Cat Food Mother & Baby Tuna & Chicken","Bona Meow Tuna Chicken 1.5kg","","Mother and baby cat food. Tuna and chicken.","For mother cats and kittens. Tuna and chicken formula. Easy to digest.","Tuna and chicken|Mother and baby|Easy digest","Feed as per guide. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","BONA-TU-CH-1.5","1.5kg","1.5","kg","","Kitten","Cat","740","","","Tuna and chicken 1.5kg. Mother and baby.","false","https://media.mewmewshopbd.com/uploads/media-manager/2024/10/1728338411_bona-meow-dry-cat-food-tuna--chicken-15kg-1732701400.jpeg","","","","","","mewmewshopbd","bona-meow-dry-cat-food-tuna-chicken-15kg","Mew Mew Shop BD"
"","Cuties Catz","Cat Food","Dry Food","CUT-CH-TU-350","Cuties Catz Dry Cat Food Chicken & Tuna Flavour","Cuties Catz 350g","","Dry cat food with chicken and tuna flavour.","Affordable dry food for cats. Chicken and tuna flavour. Complete nutrition.","Chicken and tuna|Complete nutrition|Affordable","Feed as directed. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","CUT-CH-TU-350","350g","350","g","Chicken and Tuna","Adult","Cat","180","","","Chicken and tuna 350g.","true","https://media.mewmewshopbd.com/uploads/media-manager/2024/08/1724596173_cuties-catz-dry-cat-food-withchicken--tuna-flavour-350g-1732701399.jpg","","","","","","mewmewshopbd","cuties-catz-dry-cat-food-withchicken-tuna-flavour-350g","Mew Mew Shop BD"
"","Bonacibo","Cat Food","Dry Food","BON-KIT-1.5","Bonacibo Premium Kitten Food Chicken, Anchovy & Rice","Bonacibo Kitten 1.5kg","","Premium kitten food with chicken, anchovy and rice.","Premium dry food for kittens. Chicken, anchovy and rice. Supports growth and immunity.","Premium quality|Chicken anchovy rice|Growth support","Feed according to guide. Always provide water.","Store in a cool, dry place away from sunlight.","Not for human consumption.","Thailand","active","BON-KIT-1.5","1.5kg","1.5","kg","","Kitten","Cat","980","","","Chicken, anchovy and rice 1.5kg.","true","https://media.mewmewshopbd.com/uploads/media-manager/2021/08/202108161831256fde9d67-134b-4e9f-a53d-4b27574dd771-1732701342.jpg","","","","","","mewmewshopbd","bonacibo-premium-kitten-food-chicken-flavor-1-5kg","Mew Mew Shop BD"
"","Billi","Cat Food","Dry Food","BILLI-KIT-CH-500","Billi Kitten Dry Cat Food Real Chicken","Billi Kitten Chicken 500g","","Kitten dry food with real chicken.","Dry food for kittens. Real chicken. Supports healthy growth.","Real chicken|Kitten formula|Growth","Feed as directed. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","BILLI-KIT-CH-500","500g","500","g","Chicken","Kitten","Cat","260","","","Real chicken 500g.","true","https://media.mewmewshopbd.com/uploads/media-manager/2025/04/1-1743609688.jpg","","","","","","mewmewshopbd","billi-kitten-dry-cat-food-real-chicken-500g","Mew Mew Shop BD"
